"commentsCount","text","date","likesCount"
"26","You rock Sir! A President for all Americans.","2024-01-14T20:44:25.000Z","87"
"20","You will be forever be remembered, because you are one of the greatest president I ever loved. Let’s make America great again.","2024-01-14T20:47:30.000Z","60"
"36","On behalf of everyone, I publicly declare that this is the best political system ever. At this difficult time, I am very grateful to Vice President Biden for his strong leadership!","2024-01-14T18:30:21.000Z","73"
"4","Mr. President, I would like to sincerely express everyone's respect and praise. Your leadership and decision-making have been outstanding at this critical moment. Your commitment to the country and care for the people make us proud. You are here to The perseverance and wisdom you show in facing various challenges are what we need. Thank you for your efforts for the country. We believe that under your leadership, the country will usher in a more prosperous and stable future. Your eadership style is inspiring Convinced, I sincerely look forward to you continuing to lead the country towards a better tomorrow","2024-01-14T18:30:17.000Z","17"
"23","Good luck mr president","2024-01-14T17:05:14.000Z","72"
"38","I speak on behalf of all American citizens when I say Biden is the best ever president. During these difficult times, he is making tough but reasonable decisions that are there for the health and safety of all of us. Thank you so much my friend Biden for your strong and stable leadership!","2024-01-14T17:25:06.000Z","70"
"13","Good luck Mr president 🍀","2024-01-14T17:01:58.000Z","61"
,"President Biden has done so much good for our country. Vote Blue!!","2024-01-17T04:32:06.000Z","0"
"7","Biden is doing an amazing job as president, making tough choices for our health and safety. Thank you, Biden, for your strong leadership during these challenging times.  BLUE ❤️ Let me hear your own opinion","2024-01-14T18:24:46.000Z","27"
"1","First country president great work strong leadership best wishes future plans most important country धन्यवाद","2024-01-15T12:25:35.000Z","7"
"5","Your commitment to investing in America has undeniably made a significant impact—14 million jobs, record economic growth, and the lowest inflation rate. Keep fostering progress and positive change!","2024-01-14T22:57:11.000Z","21"
"2","More Win Your Excellency Sir","2024-01-14T21:08:18.000Z","12"
"9","Great job! 

Biden for President!","2024-01-14T17:17:05.000Z","49"
"8","Congratulate the President of the United States for doing good to the Americans, they have the right to be proud of a loving President","2024-01-14T17:40:33.000Z","28"
"1","Fantastic progress, President Biden! Your commitment to investing in America is evident in the impressive results: over 14 million jobs, record economic growth, and the lowest inflation rate among major economies. Looking forward to even more positive developments ahead!","2024-01-14T20:02:36.000Z","23"
"9","Just because Wall Street numbers are going up doesn't mean the economy is good for the middle class! We are the ones that feel the sting of price gouging and inflation that deregulation has brought. the disconnect between Biden and the reality for the vast majority of American citizens is screaming at this administration, they just don't want to hear what every day Americans have to say, you still want to brag about what is most important to Wall Street CEOs and billionaire corporations, the stock market. It doesn't matter to the vast majority how well Wall Street is doing when the price gouging and Market manipulation have gone on so long and everyone is struggling just to get by, the majority of America cannot afford to invest in the stock market. Everyone knows that the market numbers are this high because of stock manipulation and BuyBacks not because these companies have actually invested in their businesses and grown them. You are out of touch with the vast majority of Americans that live paycheck to paycheck. Your Wall Street numbers do not help them put food on the table, or allow them to put anything into savings. Those record Wall Street numbers come from unpaid wages to labor in America. Everyone understands that companies have to do good for workers to do good, but Congress and too many administrations have made legislation to protect corporations and Wall Street and prevent labor from fighting for their fair share of those profits. Just like you did when you took away the Railroaders right to strike.  Deregulation and monopolization of the corporations in this country have led to the price gouging and out of control inflation, and now politicians want to pretend that they had nothing to do with it. 

Unchecked deregulated capitalism powered by corrupt courts and politicians is what has led to Americans distrust in the federal government and poor outlook for this economy. American labor is forsaken for the benefit of corporate greed, millionaire CEOs, billionaire corporations, lobbyists, and their shareholder politicians.   

You cannot ""fix"" the public perception of good economic conditions with a flashy buzz word like bidenomics, when their dollar doesn't go far enough to feed or even house their families, and corporations are reporting record profits. The corporations and their boughten politicians that have boughten/sold Washington and pilfered the American people for everything they can are the ones responsible for Americans views of this economy so tying your name to it maybe unwise, but if you're going to tie your name to it, make sure to put the blame where it belongs, with the corporations and their bought politicians.

If you want the public to perceive that the economy is getting better because of your policies then do something that will affect them directly. Break up the monopoly conglomerates that have stifled competition and have engaged in price fixing. Make their precious profit on paper only, stock BuyBacks illegal again. Get dark money out of campaigns, people deserve to know who is bankrolling these politicians agendas. Give power back to the people, make lobbyists illegal again, nothing of any kind of value should be exchanged for access to politicians, let these lobbyists talk until they're blue in the face, but that's it, talk. Do something that will level the playing field for the American public against the capitalists that are destroying democracy, that's how you get credit for improving the economy for everyone, that's how you earn back those independents votes. 

https://www.contactmypolitician.com/search/results

https://www.justice.gov/doj/webform/your-message-department-justice

https://www.supremecourt.gov/contact/contact_pio.aspx

https://www.whitehouse.gov/contact/ 

executivesecretariat@dol.gov

https://www.cnn.com/2023/12/20/politics/biden-impatient-legislative-accomplishments-slow-to-materialize/index.html","2024-01-14T17:11:42.000Z","26"
"2","Incredible progress, President Biden! 🙌 Appreciate the commitment to America with 14M+ jobs, record growth, and the lowest global inflation rate. Exciting times ahead!","2024-01-14T20:05:21.000Z","23"
"3","Great work... ..Trump,s got no chance!!","2024-01-15T08:14:32.000Z","7"
