,text,label
0,You rock Sir! A President for all Americans.,POSITIVE
1,"You will be forever be remembered, because you are one of the greatest president I ever loved. Let’s make America great again.",POSITIVE
2,"On behalf of everyone, I publicly declare that this is the best political system ever. At this difficult time, I am very grateful to Vice President Biden for his strong leadership!",POSITIVE
3,"Mr. President, I would like to sincerely express everyone's respect and praise. Your leadership and decision-making have been outstanding at this critical moment. Your commitment to the country and care for the people make us proud. You are here to The perseverance and wisdom you show in facing various challenges are what we need. Thank you for your efforts for the country. We believe that under your leadership, the country will usher in a more prosperous and stable future. Your eadership style is inspiring Convinced, I sincerely look forward to you continuing to lead the country towards a better tomorrow",POSITIVE
4,Good luck mr president,POSITIVE
5,"I speak on behalf of all American citizens when I say Biden is the best ever president. During these difficult times, he is making tough but reasonable decisions that are there for the health and safety of all of us. Thank you so much my friend Biden for your strong and stable leadership!",POSITIVE
6,Good luck Mr president 🍀,POSITIVE
7,President Biden has done so much good for our country. Vote Blue!!,POSITIVE
8,"Biden is doing an amazing job as president, making tough choices for our health and safety. Thank you, Biden, for your strong leadership during these challenging times.  BLUE ❤️ Let me hear your own opinion",POSITIVE
9,First country president great work strong leadership best wishes future plans most important country धन्यवाद,POSITIVE
10,"Your commitment to investing in America has undeniably made a significant impact—14 million jobs, record economic growth, and the lowest inflation rate. Keep fostering progress and positive change!",POSITIVE
11,More Win Your Excellency Sir,POSITIVE
12,"Great job! 

Biden for President!",POSITIVE
13,"Congratulate the President of the United States for doing good to the Americans, they have the right to be proud of a loving President",POSITIVE
14,"Fantastic progress, President Biden! Your commitment to investing in America is evident in the impressive results: over 14 million jobs, record economic growth, and the lowest inflation rate among major economies. Looking forward to even more positive developments ahead!",POSITIVE
15,"Just because Wall Street numbers are going up doesn't mean the economy is good for the middle class! We are the ones that feel the sting of price gouging and inflation that deregulation has brought. the disconnect between Biden and the reality for the vast majority of American citizens is screaming at this administration, they just don't want to hear what every day Americans have to say, you still want to brag about what is most important to Wall Street CEOs and billionaire corporations, the stock market. It doesn't matter to the vast majority how well Wall Street is doing when the price gouging and Market manipulation have gone on so long and everyone is struggling just to get by, the majority of America cannot afford to invest in the stock market. Everyone knows that the market numbers are this high because of stock manipulation and BuyBacks not because these companies have actually invested in their businesses and grown them. You are out of touch with the vast majority of Americans that live paycheck to paycheck. Your Wall Street numbers do not help them put food on the table, or allow them to put anything into savings. Those record Wall Street numbers come from unpaid wages to labor in America. Everyone understands that companies have to do good for workers to do good, but Congress and too many administrations have made legislation to protect corporations and Wall Street and prevent labor from fighting for their fair share of those profits. Just like you did when you took away the Railroaders right to strike.  Deregulation and monopolization of the corporations in this country have led to the price gouging and out of control inflation, and now politicians want to pretend that they had nothing to do with it. 

Unchecked deregulated capitalism powered by corrupt courts and politicians is what has led to Americans distrust in the federal government and poor outlook for this economy. American labor is forsaken for the benefit of corporate greed, millionaire CEOs, billionaire corporations, lobbyists, and their shareholder politicians.   

You cannot ""fix"" the public perception of good economic conditions with a flashy buzz word like bidenomics, when their dollar doesn't go far enough to feed or even house their families, and corporations are reporting record profits. The corporations and their boughten politicians that have boughten/sold Washington and pilfered the American people for everything they can are the ones responsible for Americans views of this economy so tying your name to it maybe unwise, but if you're going to tie your name to it, make sure to put the blame where it belongs, with the corporations and their bought politicians.

If you want the public to perceive that the economy is getting better because of your policies then do something that will affect them directly. Break up the monopoly conglomerates that have stifled competition and have engaged in price fixing. Make their precious profit on paper only, stock BuyBacks illegal again. Get dark money out of campaigns, people deserve to know who is bankrolling these politicians agendas. Give power back to the people, make lobbyists illegal again, nothing of any kind of value should be exchanged for access to politicians, let these lobbyists talk until they're blue in the face, but that's it, talk. Do something that will level the playing field for the American public against the capitalists that are destroying democracy, that's how you get credit for improving the economy for everyone, that's how you earn back those independents votes. 

https://www.contactmypolitician.com/search/results

https://www.justice.gov/doj/webform/your-message-department-justice

https://www.supremecourt.gov/contact/contact_pio.aspx

https://www.whitehouse.gov/contact/ 

executivesecretariat@dol.gov

https://www.cnn.com/2023/12/20/politics/biden-impatient-legislative-accomplishments-slow-to-materialize/index.html",NEGATIVE
16,"Incredible progress, President Biden! 🙌 Appreciate the commitment to America with 14M+ jobs, record growth, and the lowest global inflation rate. Exciting times ahead!",POSITIVE
17,"Great work... ..Trump,s got no chance!!",POSITIVE
18,Thank you so much Joe for keeping America flag fly high 🇺🇸,POSITIVE
19,We definitely have the most caring and prosperous president in history of USA 🇺🇸,POSITIVE
20,You are too good Mr president,POSITIVE
21,God bless the United States of America,POSITIVE
22,Sending love from South Sudan 🇸🇸🇸🇸. Africa admires your leadership skills,POSITIVE
23,Wicked Administration and Manipulation against Humanity,NEGATIVE
24,Great work Mr honest and true President .,POSITIVE
25,Best President in history of 🇺🇸,POSITIVE
26,I am in Germany and sign with the US military that I want to work for them in Germany and everywhere,NEGATIVE
27,VOTE BLUE 💙💙💙🇺🇸🇺🇸🇺🇸,POSITIVE
28,"Explain with simple clear lists.   No wonkiness - not just ""economy"" (boring to most people).   Simple, specific - health care improvements,  help for students, foreign connections,  etc.  Democrats have a problem in labeling their accomplishments - too wonky... speak plainly and clearly.  (if we want more details - we can look them up - research).  Just a hint. ......   Speak - clearly and plainly - normal words.",NEGATIVE
29,"In actions and dedication we believe in you Mr President Joe Biden,stay health and make a America reach the tip of the ladder in anything.",POSITIVE
30,This man’s done more for Ukraine in one year than he has for America in all 50 years of office.,POSITIVE
31,"I’ve noticed eating at a restaurant, groceries, gas, and insurance has skyrocketed since you took office",NEGATIVE
32,Best president,POSITIVE
33,Nothing but bots and NPC’s in the comment section….mostly all out of the states.,NEGATIVE
34,A lot of government bots on this page😐😐,NEGATIVE
35,"Will America be able to break the strong hold of Russia and China and return democracy to Bangladesh? Because Sheikh Hasina does not care about Westerners. Bangladesh's democracy has now become a challenge for the West. If they can't do that, then China and Russia will rise in importance all over the world. Sheikh Hasina is challenging the West. He will not relinquish power.",POSITIVE
36,I saw so many pple lost their jobs and still not find a job??,NEGATIVE
37,"People have boycotted Bangladesh elections now people are looking at you, if you don't do something people will lose the trust they have in you hope you do something those who participated in this election against boats also boycotted.",NEGATIVE
38,"Dear sir, today my people of Bangladesh are in a lot of trouble, please have some mercy for my country",NEGATIVE
39,"ليس للمحتل حق الدفاع عن النفس هو حق أصيل فقط لأصحاب الارض انشروها في كل مكان
the occupier does not have the right to self-defense. It is an inherent right only to the owners of the land. Spread it everywhere",POSITIVE
40,Well am nt from that side but have heard so many good things about him,POSITIVE
41,Awesome job President Biden!!!! Thank you for making America 🇺🇸 great again!!!,POSITIVE
42,The people of Bangladesh want to see elections under a neutral government,NEGATIVE
43,Thank you President Biden for the Good that you do for the people. Especially for the less fortunate ones.”We need Presidents like you in the White House “ God Bless you and your Beautiful family.🎆🎆🎆 Biden 2024,POSITIVE
44,"100 Days of Genocide: The people of Gaza have been living under mass extermination for 100 days.
In a scene that encapsulates a deep and horrific tragedy, the Israeli occupation forces have committed what can only be described as a crime against humanity. 
We have witnessed chapters of terrifying violence, with more than thirty thousand Palestinians were killed, among them over ten thousand children, casualties of barbarity and aggression.
The majority of the victims are innocent civilians, with villages and residential neighborhoods not spared from complete destruction, turning daily life into a terrifying nightmare.
The number of people displaced by this Genocide has exceeded 1.9 million, now without shelter or protection.
Even United Nations schools, which were supposed to be safe havens, have not been spared from the bombardment.
Mosques, hospitals, infrastructure, and shops have become targets of destruction and devastation.
This military machine continues its violations, invading Palestinian homes, plundering people's possessions, their money, and even children's toys. 
The Genocide continues for more than a hundred days, under continuous American support, exacerbating the current situation. 
The Gaza Strip, once described as the world's largest open-air prison, has been transformed into a camp of genocide.
Thanks to the free and honorable voices, South Africa has filed a lawsuit with the International Court to stop this genocide.
The importance of continuing to speak out about Palestine , Don't stop talking aout Palestine.",NEGATIVE
45,"Great work.
Best wishes.
Heartiest congratulations.",POSITIVE
46,"The results are clear, and Republicans voted against all of it.",POSITIVE
47,Parabéns senhor presidente Joe biden temos que trabalhar juntos com todos empresários esse investimentos e quem tais América crescer a economia parabéns eu só um oficial de justiça de investigação tô afastado alguns tempos todos nós juntos fazemos uma América melhor para todos thenk thenk parabéns,NEGATIVE
48,Have you been shopping at the grocery store lately? “Lowest inflation rate what”?,NEGATIVE
49,Looks like the third world is the only ones that love old Joe. Haha,NEGATIVE
50,Good job Mr president keep on going. Age is just a letter young forever,POSITIVE
51,"Honorable President Biden, your Economic policies are Great, Welcome",POSITIVE
52,Interesting how many people praising Joey don't even live in this country.,POSITIVE
