,total,POSITIVE,NEGATIVE,proportion
president,190,103,87,0.5421052631578948
americans,46,16,30,0.34782608695652173
sir,18,13,5,0.7222222222222222
greatest,5,4,1,0.8
make,50,15,35,0.3
one,51,6,45,0.11764705882352941
ever,47,19,28,0.40425531914893614
let,22,9,13,0.4090909090909091
america,116,48,68,0.41379310344827586
forever,6,5,1,0.8333333333333334
great,62,42,20,0.6774193548387096
everyone,16,6,10,0.375
declare,9,1,8,0.1111111111111111
biden,238,83,155,0.3487394957983193
strong,11,9,2,0.8181818181818182
time,55,14,41,0.2545454545454545
leadership,15,13,2,0.8666666666666667
best,41,36,5,0.8780487804878049
system,13,5,8,0.38461538461538464
political,12,4,8,0.3333333333333333
need,35,9,26,0.2571428571428571
people,108,34,74,0.3148148148148148
facing,5,4,1,0.8
efforts,5,3,2,0.6
praise,21,3,18,0.14285714285714285
towards,5,2,3,0.4
future,9,5,4,0.5555555555555556
care,20,10,10,0.5
us,60,20,40,0.3333333333333333
would,49,9,40,0.1836734693877551
thank,39,30,9,0.7692307692307693
lead,6,3,3,0.5
better,15,4,11,0.26666666666666666
like,59,21,38,0.3559322033898305
respect,5,4,1,0.8
commitment,6,6,0,1.0
look,20,4,16,0.2
various,11,3,8,0.2727272727272727
country,73,20,53,0.273972602739726
proud,6,5,1,0.8333333333333334
believe,35,12,23,0.34285714285714286
luck,20,19,1,0.95
good,69,48,21,0.6956521739130435
mr,37,31,6,0.8378378378378378
times,10,6,4,0.6
citizens,15,6,9,0.4
health,12,6,6,0.5
much,23,8,15,0.34782608695652173
making,17,10,7,0.5882352941176471
safety,6,4,2,0.6666666666666666
speak,14,5,9,0.35714285714285715
american,66,20,46,0.30303030303030304
friend,5,2,3,0.4
say,34,8,26,0.23529411764705882
blue,13,7,6,0.5384615384615384
done,21,7,14,0.3333333333333333
vote,41,14,27,0.34146341463414637
hear,5,3,2,0.6
job,39,19,20,0.48717948717948717
important,11,3,8,0.2727272727272727
wishes,7,2,5,0.2857142857142857
work,59,30,29,0.5084745762711864
first,11,5,6,0.45454545454545453
positive,9,7,2,0.7777777777777778
inflation,65,20,45,0.3076923076923077
growth,12,7,5,0.5833333333333334
made,17,7,10,0.4117647058823529
record,25,9,16,0.36
jobs,57,14,43,0.24561403508771928
lowest,21,9,12,0.42857142857142855
change,11,2,9,0.18181818181818182
economic,18,10,8,0.5555555555555556
rate,17,10,7,0.5882352941176471
investing,12,6,6,0.5
keep,22,12,10,0.5454545454545454
million,38,11,27,0.2894736842105263
win,8,4,4,0.5
right,25,18,7,0.72
states,32,14,18,0.4375
united,28,14,14,0.5
major,6,2,4,0.3333333333333333
results,6,5,1,0.8333333333333334
even,45,9,36,0.2
economies,5,3,2,0.6
looking,8,5,3,0.625
public,9,3,6,0.3333333333333333
anything,8,2,6,0.25
congress,5,0,5,0.0
power,6,3,3,0.5
reality,8,2,6,0.25
high,46,7,39,0.15217391304347827
